epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,train/angle_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,val/angle_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
59,12091.5,1.12214,1.01228,0.03368,0.02667,0.85005,0.71867,0.81754,0.59019,1.01105,0.99585,0.04207,0.02643,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258,0.012774,0.004258
60,12293.3,1.12009,1.00511,0.03411,0.0272,0.85116,0.71886,0.81787,0.59063,1.01046,0.99666,0.04203,0.0264,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159,0.012477,0.004159
61,12495.2,1.11557,1.00535,0.03418,0.02634,0.85053,0.72067,0.81822,0.59102,1.00972,0.99415,0.04203,0.02634,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406,0.01218,0.00406
62,12697.7,1.11702,0.99889,0.0337,0.02589,0.85207,0.71971,0.81826,0.59124,1.00866,0.99477,0.04201,0.02662,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961,0.011883,0.003961
63,12900.3,1.11091,0.99136,0.03347,0.02602,0.85227,0.72032,0.81876,0.5917,1.00901,0.99328,0.04202,0.02628,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862,0.011586,0.003862
64,13102.3,1.11263,0.99807,0.03375,0.02548,0.85285,0.72067,0.81934,0.59236,1.00832,0.99229,0.04206,0.02618,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763,0.011289,0.003763
65,13304.6,1.11214,0.98944,0.03393,0.0258,0.85378,0.72034,0.81935,0.59252,1.00881,0.99211,0.04207,0.02633,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664,0.010992,0.003664
66,13506.7,1.10974,0.99004,0.03452,0.02599,0.85414,0.71966,0.81934,0.59281,1.00793,0.99135,0.04208,0.0263,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565,0.010695,0.003565
67,13709.1,1.10832,0.97939,0.03399,0.02579,0.85266,0.72078,0.81959,0.59311,1.00744,0.99098,0.04211,0.02618,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466,0.010398,0.003466
68,13911.6,1.1019,0.97431,0.03329,0.02595,0.85492,0.72042,0.82,0.59378,1.00915,0.99031,0.04214,0.02626,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367,0.010101,0.003367
69,14114.3,1.10101,0.9778,0.03409,0.0254,0.85378,0.72233,0.82042,0.59404,1.00842,0.9907,0.04214,0.0261,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268,0.009804,0.003268
70,14317.2,1.0998,0.97519,0.03485,0.02555,0.85458,0.72244,0.82065,0.5944,1.00734,0.98977,0.04212,0.02606,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169,0.009507,0.003169
71,14518.9,1.10162,0.97285,0.03371,0.02602,0.85417,0.72324,0.82095,0.59493,1.00667,0.98996,0.04213,0.02605,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307,0.00921,0.00307
72,14720.8,1.08719,0.95791,0.03349,0.02407,0.85488,0.72232,0.82104,0.59551,1.00625,0.9923,0.04213,0.02603,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971,0.008913,0.002971
73,14923.3,1.08666,0.95171,0.03353,0.02453,0.85454,0.72235,0.82131,0.59581,1.00709,0.99022,0.04214,0.02605,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872,0.008616,0.002872
74,15125.6,1.08701,0.95275,0.03363,0.02416,0.85584,0.72272,0.82157,0.59618,1.00681,0.99147,0.04214,0.02604,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773,0.008319,0.002773
75,15327.9,1.08703,0.94767,0.03354,0.02457,0.85221,0.7251,0.82168,0.59648,1.00636,0.99293,0.04213,0.02605,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674,0.008022,0.002674
76,15530.4,1.08401,0.94855,0.03358,0.02446,0.85527,0.7227,0.82196,0.59693,1.00665,0.99428,0.04215,0.02615,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575,0.007725,0.002575
77,15733.2,1.08491,0.94885,0.03369,0.02448,0.85764,0.72244,0.82215,0.59723,1.00659,0.99528,0.04214,0.02617,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476,0.007428,0.002476
78,15935.8,1.0805,0.93802,0.03379,0.0237,0.85721,0.7221,0.82231,0.5977,1.00563,0.99628,0.04211,0.02618,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377,0.007131,0.002377
79,16138.8,1.07739,0.93643,0.03431,0.02389,0.85847,0.72147,0.82248,0.59787,1.00542,0.99914,0.0421,0.02621,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278,0.006834,0.002278
80,16341.4,1.07586,0.93412,0.03363,0.02494,0.85709,0.72233,0.82235,0.59811,1.00513,1.0011,0.0421,0.02617,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179,0.006537,0.002179
81,16544.1,1.07634,0.93616,0.03444,0.0233,0.85514,0.72414,0.82247,0.59832,1.00469,1.00145,0.0421,0.02613,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208,0.00624,0.00208
82,16747.3,1.07222,0.93011,0.03362,0.02424,0.85477,0.72408,0.82236,0.59843,1.00428,1.00407,0.04209,0.0261,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981,0.005943,0.001981
83,16949.6,1.06445,0.91946,0.03374,0.02332,0.85569,0.72398,0.82248,0.59865,1.00413,1.00612,0.04207,0.02604,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882,0.005646,0.001882
84,17151.6,1.06305,0.90892,0.0338,0.02306,0.85621,0.7238,0.82292,0.59919,1.00408,1.00642,0.04206,0.02602,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783,0.005349,0.001783
85,17354.5,1.05683,0.90521,0.0337,0.02242,0.85757,0.72387,0.82315,0.59951,1.00394,1.00741,0.04206,0.02602,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684,0.005052,0.001684
86,17557.5,1.06187,0.90347,0.03376,0.02283,0.85549,0.72556,0.82338,0.59984,1.00415,1.00863,0.04207,0.026,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585,0.004755,0.001585
87,17760.6,1.06121,0.90674,0.03377,0.02321,0.85578,0.7253,0.82348,0.60018,1.00416,1.00906,0.04206,0.02598,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486,0.004458,0.001486
88,17963.5,1.05639,0.90216,0.03333,0.02318,0.85655,0.72537,0.82361,0.60056,1.00398,1.01119,0.04205,0.02591,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387,0.004161,0.001387
89,18166.2,1.05489,0.90229,0.03336,0.02317,0.8557,0.72553,0.82389,0.60101,1.00361,1.01231,0.04205,0.02588,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288,0.003864,0.001288
90,18369.1,1.04861,0.89289,0.03369,0.0228,0.85764,0.72508,0.82408,0.60131,1.00345,1.01424,0.04207,0.02582,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189,0.003567,0.001189
91,18565.9,1.00517,0.81778,0.03749,0.02126,0.85725,0.72434,0.82399,0.60155,1.00266,1.01716,0.04206,0.02589,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109,0.00327,0.00109
92,18761.4,1.00265,0.81247,0.03743,0.02118,0.85819,0.72401,0.82416,0.60195,1.00294,1.01805,0.04204,0.02592,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991,0.002973,0.000991
93,18957.7,0.99275,0.79633,0.03749,0.02053,0.85696,0.72626,0.82444,0.60237,1.00129,1.0192,0.04199,0.02583,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892,0.002676,0.000892
94,19154.1,0.99159,0.79411,0.03731,0.0207,0.85463,0.72786,0.82462,0.60269,1.00145,1.01984,0.04198,0.02588,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793,0.002379,0.000793
95,19351.2,0.98864,0.79095,0.03752,0.02009,0.85301,0.7285,0.8244,0.60285,1.00124,1.02133,0.04197,0.02587,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694,0.002082,0.000694
96,19547.7,0.98284,0.77888,0.03715,0.02026,0.85397,0.72816,0.82451,0.60326,1.00085,1.02205,0.04198,0.02592,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595,0.001785,0.000595
97,19747.3,0.97951,0.77843,0.03748,0.0203,0.85302,0.72923,0.82465,0.60342,1.00108,1.02095,0.04199,0.02591,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496,0.001488,0.000496
98,19945.8,0.97557,0.77217,0.03746,0.01991,0.85511,0.72842,0.82509,0.604,1.00081,1.02182,0.04199,0.02592,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397,0.001191,0.000397
99,20144.1,0.96992,0.76723,0.03755,0.01976,0.85639,0.7278,0.8254,0.60453,1.00081,1.0219,0.042,0.0262,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298,0.000894,0.000298
100,20342.4,0.96952,0.76985,0.0378,0.01966,0.85546,0.72913,0.82556,0.60456,1.0009,1.02202,0.04202,0.0264,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199,0.000597,0.000199
